Date,Time,Score,Level
1/23/2009,,53,2
1/28/2009,,55,2
1/30/2009,,63,2
1/31/2009,,50,2
2/6/2009,,58,2
2/10/2009,,42,1
2/21/2009,,50,2
2/25/2009,,55,2
2/26/2009,,73,2
2/26/2009,,61,2
3/1/2009,,69,2
3/2/2009,,52,2
3/5/2009,,52,2
3/5/2009,,69,2
3/6/2009,,54,2
3/7/2009,,54,2
3/8/2009,,63,2
3/10/2009,,63,2
3/13/2009,,65,2
3/15/2009,,69,2
3/15/2009,,75,2
3/16/2009,,59,2
3/19/2009,,65,2
3/20/2009,,71,2
3/21/2009,,70,2
3/25/2009,,71,2
3/25/2009,,76,3
3/25/2009,,62,2
3/28/2009,,73,2
4/1/2009,,58,2
4/2/2009,,55,2
4/6/2009,,,2
4/7/2009,,,2
4/10/2009,,,1
11/23/2009,,18,1
12/7/2009,,32,1
12/11/2009,,40,1
12/12/2009,,43,1
12/15/2009,,43,1
12/16/2009,,55,1
12/18/2009,,49,1
12/23/2009,,41,1
12/30/2009,,45,1
12/31/2009,,53,2
1/1/2010,,60,2
1/4/2010,,57,2
1/5/2010,,60,2
1/6/2010,,60,2
1/8/2010,,50,2
1/12/2010,,60,2
1/14/2010,,53,2
1/15/2010,,55,2
1/18/2010,,50,2
1/20/2010,,43,1
1/21/2010,,45,1
1/25/2010,,41,1
2/11/2010,,38,1
3/12/2010,,38,1
3/30/2010,,30,1
12/7/2010,,45,1
12/10/2010,,63,2
12/10/2010,,68,2
12/12/2010,,71,2
12/12/2010,,80,3
12/13/2010,,43,3
12/14/2010,,55,2
12/15/2010,,44,1
12/17/2010,,45,1
12/27/2010,,48,1
12/28/2010,,50,2
12/28/2010,,50,2
1/4/2011,,48,1
1/6/2011,,52,2
1/7/2011,,52,2
1/8/2011,,72,2
1/8/2011,,59,2
1/9/2011,,49,1
1/11/2011,,49,1
1/12/2011,,50,2
1/12/2011,,65,2
1/12/2011,,74,2
1/13/2011,,75,2
1/14/2011,,75,2
1/15/2011,,74,2
1/16/2011,,85,3
1/16/2011,,93,3
1/16/2011,,101,4
1/18/2011,,65,2
1/19/2011,,50,2
1/21/2011,,68,2
1/22/2011,,49,1
1/26/2011,,51,2
1/28/2011,,50,2
1/29/2011,,53,2
1/30/2011,,50,2
2/2/2011,,49,1
2/3/2011,,49,1
2/4/2011,,58,2
2/5/2011,,58,2
2/6/2011,,62,2
2/7/2011,,62,2
2/8/2011,,50,2
2/10/2011,,49,1
2/11/2011,,49,1
2/11/2011,,55,2
2/12/2011,,50,2
2/13/2011,,69,2
2/15/2011,,67,2
2/16/2011,,54,2
2/17/2011,,50,2
2/21/2011,,55,2
2/22/2011,,62,2
2/24/2011,,50,2
2/26/2011,,50,2
2/27/2011,,58,2
2/28/2011,,58,2
2/28/2011,,75,2
3/1/2011,,75,2
3/3/2011,,73,2
3/4/2011,,68,2
3/7/2011,,61,2
3/9/2011,,66,2
3/10/2011,,90,3
3/11/2011,,75,2
3/14/2011,,75,2
3/15/2011,,62,2
3/16/2011,,75,2
3/16/2011,,70,2
3/18/2011,,55,2
3/23/2011,,50,2
3/28/2011,,50,2
3/30/2011,,59,2
3/31/2011,,73,2
4/1/2011,,73,2
4/5/2011,,68,2
4/8/2011,,52,2
4/11/2011,,53,2
4/14/2011,,58,2
4/17/2011,,69,2
4/19/2011,,54,2
4/22/2011,,59,2
4/27/2011,,54,2
4/29/2011,,64,2
12/28/2011,,45,1
1/16/2012,,46,1
1/17/2012,,49,1
1/19/2012,,55,2
1/21/2012,,62,2
1/23/2012,,45,1
1/25/2012,,49,1
1/25/2012,,49,1
1/26/2012,,59,2
1/26/2012,,51,1
1/29/2012,,52,2
1/30/2012,,63,2
1/31/2012,,47,1
2/2/2012,,45,1
2/7/2012,,39,1
2/16/2012,,39,1
2/19/2012,,46,2
2/21/2012,,54,2
2/21/2012,,66,2
2/22/2012,,80,3
2/22/2012,,71,2
2/23/2012,,51,2
2/24/2012,,54,2
2/26/2012,,52,2
2/29/2012,,62,2
3/3/2012,,71,2
3/6/2012,,44,1
3/8/2012,,46,1
3/9/2012,,58,2
3/10/2012,,68,2
3/12/2012,,50,2
3/14/2012,,48,1
3/15/2012,,61,2
3/15/2012,,74,2
3/16/2012,,81,3
3/16/2012,,75,2
3/16/2012,,59,2
3/20/2012,,58,2
3/21/2012,,62,2
3/22/2012,,54,2
3/25/2012,,54,2
3/28/2012,,54,2
3/29/2012,,61,2
3/30/2012,,87,3
3/31/2012,,64,2
4/2/2012,,44,1
4/4/2012,,39,1
4/6/2012,,36,1
1/2/2013,,33,1
1/7/2013,,40,1
1/8/2013,,50,1
1/9/2013,,59,2
1/10/2013,,44,1
1/16/2013,,40,1
1/24/2013,,48,1
1/29/2013,,42,1
2/5/2013,,36,1
2/12/2013,,42,1
2/17/2013,,49,1
2/21/2013,,41,1
2/26/2013,,49,1
3/2/2013,,60,2
3/3/2013,,44,1
3/7/2013,,44,1
3/10/2013,,49,1
3/12/2013,,49,1
3/12/2013,,52,2
3/13/2013,,47,1
3/16/2013,,51,2
3/17/2013,,41,1
3/18/2013,,48,1
3/19/2013,,51,2
3/19/2013,,51,2
3/20/2013,,56,2
3/21/2013,,47,1
3/26/2013,,39,1
4/2/2013,,39,1
4/12/2013,,23,1
12/10/2013,,33,1
12/17/2013,,33,1
12/26/2013,,38,1
1/2/2014,,44,1
1/3/2014,,60,2
1/3/2014,,43,1
1/3/2014,,61,2
1/4/2014,,43,1
1/10/2014,,57,2
1/10/2014,,64,2
1/11/2014,,64,2
1/11/2014,,72,2
1/12/2014,,58,2
1/13/2014,,61,2
1/14/2014,,50,2
1/14/2014,,40,1
1/15/2014,,47,1
1/20/2014,,47,1
1/27/2014,,49,1
1/29/2014,,49,1
1/29/2014,,53,2
1/30/2014,,42,1
2/3/2014,,42,1
2/4/2014,,50,2
2/5/2014,,44,1
2/10/2014,,50,2
2/11/2014,,52,2
2/12/2014,,68,2
2/13/2014,,77,3
2/13/2014,,59,2
2/14/2014,,53,2
2/14/2014,,44,1
2/15/2014,,54,2
2/16/2014,,75,2
2/16/2014,,77,3
2/16/2014,,77,3
2/17/2014,,77,3
2/18/2014,,77,3
2/18/2014,,76,3
2/19/2014,,68,2
2/20/2014,,66,2
2/21/2014,,65,2
2/22/2014,,62,2
2/27/2014,,65,2
2/27/2014,,57,2
3/2/2014,,73,2
3/2/2014,,NA,5
3/3/2014,,NA,3
3/3/2014,,80,3
3/3/2014,,87,3
3/4/2014,,NA,3
3/4/2014,,85,3
3/5/2014,,87,3
3/5/2014,,88,3
3/6/2014,,NA,5
3/6/2014,,76,3
3/7/2014,,75,2
3/8/2014,,75,2
3/9/2014,,76,3
3/9/2014,,NA,4
3/9/2014,,NA,3
3/9/2014,,90,3
3/10/2014,,74,2
3/10/2014,,74,2
3/11/2014,,70,2
3/12/2014,,70,2
3/13/2014,,67,2
3/14/2014,,75,2
3/15/2014,,68,2
3/16/2014,,71,2
3/17/2014,,71,2
3/17/2014,,72,2
3/17/2014,,75,2
3/18/2014,,67,2
3/19/2014,,59,2
3/20/2014,,49,1
3/24/2014,,46,1
3/25/2014,,46,1
3/26/2014,,48,1
3/28/2014,,50,2
3/28/2014,,51,2
3/29/2014,,63,2
3/29/2014,,49,1
4/1/2014,,37,1
4/3/2014,,43,1
4/5/2014,,46,1
4/7/2014,,51,2
4/8/2014,,52,2
4/8/2014,,60,2
4/9/2014,,50,2
4/11/2014,,50,2
4/12/2014,,46,1
4/14/2014,,41,1
4/15/2014,,46,1
12/1/2014,2200,31,1
12/7/2014,2100,21,1
12/14/2014,2100,17,1
12/21/2014,1800,32,1
12/24/2014,1400,49,1
12/26/2014,500,32,1
12/26/2014,2300,38,1
12/27/2014,1700,53,2
12/28/2014,1220,45,1
1/2/2015,730,45,1
1/3/2015,1000,49,1
1/4/2015,1300,49,1
1/4/2015,1900,57,2
1/5/2015,600,70,2
1/5/2015,1315,76,3
1/5/2015,1830,76,3
1/6/2015,1500,47,1
1/9/2015,2300,40,1
1/12/2015,700,33,1
1/15/2015,2030,34,1
1/17/2015,1100,48,1
1/19/2015,1430,42,1
1/23/2015,2000,42,1
1/25/2015,2000,49,1
1/26/2015,520,51,2
1/27/2015,600,50,2
1/28/2015,1530,37,1
2/2/2015,640,39,1
2/4/2015,650,44,1
2/5/2015,1810,46,1
2/6/2015,630,46,1
2/6/2015,900,47,1
2/7/2015,700,47,1
2/9/2015,700,36,1
2/13/2015,700,22,1
2/17/2015,730,15,1
2/23/2015,730,13,1
3/2/2015,800,14,1
3/10/2015,800,10,1
3/15/2015,1925,20,1
12/1/2015,1500,,1
12/13/2015,1000,,1
12/15/2015,1800,10,1
12/19/2015,1200,12,1
12/20/2015,800,16,1
12/22/2015,700,28,1
12/24/2015,1600,34,1
12/25/2015,900,43,1
12/29/2015,1715,18,1
1/5/2016,1700,16,1
1/13/2016,1050,35,1
1/14/2016,1820,39,1
1/19/2016,2200,42,1
1/20/2016,1100,42,1
1/22/2016,1430,47,1
1/24/2016,830,40,1
1/27/2016,1800,45,1
1/30/2016,620,49,1
1/30/2016,1200,49,1
2/2/2016,2000,33,1
2/6/2016,630,48,1
2/9/2016,2030,38,1
2/11/2016,2200,38,1
2/14/2016,2200,43,1
2/17/2016,1500,30,1
2/20/2016,655,49,1
2/22/2016,730,30,1
2/29/2016,830,20,1
3/2/2016,1500,24,1
3/7/2016,830,18,1
3/10/2016,1510,34,1
3/14/2016,800,19,1
3/17/2016,1512,25,1
3/21/2016,930,20,1
3/24/2016,1330,18,1
3/28/2016,1000,16,1
3/31/2016,1322,13,1
4/5/2016,700,,1
12/11/2016,1415,35,1
12/16/2016,1700,19,1
12/19/2016,1100,43,1
12/20/2016,1814,46,1
12/23/2016,1015,30,1
12/26/2016,2300,40,1
12/28/2016,1500,48,1
12/30/2016,430,50,2
12/30/2016,1830,41,1
1/3/2017,915,35,1
1/6/2017,1330,37,1
1/8/2017,830,41,1
1/9/2017,810,47,1
1/9/2017,2300,49,1
1/10/2017,2230,49,1
1/14/2017,1904,25,1
1/16/2022,2100,,1
1/17/2017,1610,42,1
1/18/2017,815,49,1
1/18/2017,1335,50,2
1/19/2017,545,50,2
1/19/2017,1020,41,1
1/23/2017,1750,20,1
1/28/2017,1130,26,1
1/30/2017,1700,29,1
2/3/2017,900,33,1
2/3/2017,2145,41,1
2/4/2017,1215,52,2
2/4/2017,2245,56,2
2/5/2017,1000,60,2
2/5/2017,1700,76,3
2/5/2017,2217,86,3
2/6/2017,123,100,4
2/7/2017,300,100,4
2/7/2017,1500,76,3
2/8/2017,2000,76,3
2/9/2017,820,90,3
2/9/2017,1030,111,5
2/9/2017,2225,111,5
2/10/2017,930,100,4
2/10/2017,1230,84,3
2/11/2017,1200,50,2
2/12/2017,2130,50,2
2/15/2017,1720,50,2
2/16/2017,1630,47,1
2/17/2017,210,55,2
2/17/2017,2130,46,1
2/20/2017,1700,48,1
2/25/2017,800,29,1
2/27/2017,1707,35,1
2/28/2017,1730,48,1
3/1/2017,2130,51,2
3/2/2017,2115,58,2
3/4/2017,700,50,2
3/5/2017,1730,45,1
3/7/2017,700,39,1
3/7/2017,2100,41,1
3/8/2017,2200,47,1
3/9/2017,0,50,2
3/10/2017,900,64,2
3/11/2017,600,49,1
3/11/2017,1730,55,2
3/11/2017,2230,69,2
3/12/2017,530,79,3
3/12/2017,1020,76,3
3/12/2017,1430,66,2
3/12/2017,2200,49,1
3/13/2017,1015,45,1
3/14/2017,645,,1
3/14/2017,1130,50,2
3/14/2017,1730,62,2
3/15/2017,330,76,3
3/15/2017,1745,76,3
3/16/2017,930,67,2
3/17/2017,830,50,2
3/18/2017,830,52,2
3/20/2017,715,29,1
3/27/2017,615,29,1
4/3/2017,800,,1
4/10/2017,850,,1
12/18/2017,1215,47,1
12/19/2017,700,51,2
12/19/2017,1613,57,2
12/20/2017,230,59,2
12/21/2017,700,53,2
12/22/2017,700,54,2
12/23/2017,1400,38,1
12/26/2017,1800,34,1
12/27/2017,1720,40,1
12/28/2017,1857,59,2
12/29/2017,1115,66,2
12/30/2017,10,73,2
12/30/2017,900,74,2
12/30/2017,1220,80,3
12/31/2017,1210,62,2
1/1/2018,830,49,1
1/3/2018,730,43,1
1/4/2018,1651,37,1
1/6/2018,220,47,1
1/8/2018,700,47,1
1/9/2018,700,47,1
1/9/2018,1100,55,2
1/10/2018,1700,50,2
1/11/2018,1830,50,2
1/12/2018,1630,32,1
1/15/2018,1630,25,1
1/18/2018,140,34,1
1/22/2018,820,34,1
1/25/2018,830,44,1
1/27/2018,1630,46,1
1/28/2018,100,59,2
1/29/2018,630,50,2
1/30/2018,500,70,2
1/30/2018,1730,38,1
2/1/2018,2230,44,1
2/2/2018,1930,49,1
2/3/2018,740,,2
2/3/2018,1030,50,2
2/4/2018,1030,65,2
2/5/2018,1605,60,2
2/7/2018,600,62,2
2/7/2018,1930,69,2
2/8/2018,315,79,3
2/8/2018,915,87,3
2/8/2018,2130,79,3
2/9/2018,1046,54,2
2/10/2018,1630,30,1
2/13/2018,1630,37,1
2/16/2018,600,46,1
2/16/2018,1600,54,2
2/17/2018,1840,61,2
2/18/2018,1015,70,2
2/19/2018,1540,37,1
2/22/2018,2200,31,1
2/26/2018,500,50,2
2/27/2018,500,41,1
3/2/2018,1800,43,1
3/7/2018,600,50,1
3/7/2018,1200,50,2
3/8/2018,630,50,1
3/8/2018,,,2
3/9/2018,630,50,2
3/10/2018,700,51,1
3/10/2018,1200,,2
3/11/2018,900,52,1
3/11/2018,,,2
3/12/2018,645,50,1
3/12/2018,,,2
3/13/2018,845,50,1
3/13/2018,,,2
3/14/2018,800,50,1
3/14/2018,,,2
3/15/2018,730,42,1
3/19/2018,700,44,1
3/26/2018,730,32,1
3/29/2018,1800,39,1
3/31/2018,800,43,1
4/1/2018,1845,43,1
4/8/2018,1000,50,2
4/9/2018,700,49,1
4/11/2018,1730,50,2
4/13/2018,700,49,1
4/15/2018,1620,33,1
12/10/2018,,7,1
12/13/2018,,31,1
12/18/2018,,42,1
12/21/2018,,30,1
12/27/2018,,22,1
12/29/2018,,38,1
12/31/2018,,26,1
1/3/2019,,33,1
1/7/2019,,42,1
1/10/2019,,22,1
1/17/2019,,30,1
1/21/2019,,35,1
1/28/2019,,36,1
2/1/2019,,32,1
2/3/2019,,38,1
2/5/2019,,42,1
2/9/2019,,34,1
2/12/2019,,65,2
2/13/2019,,73,2
2/13/2019,,93,3
2/14/2019,,53,2
2/15/2019,,40,1
2/19/2019,,29,1
2/25/2019,,38,1
2/28/2019,,27,1
3/7/2019,,33,1
3/13/2019,,34,1
3/18/2019,,55,2
3/20/2019,,73,2
3/21/2019,,85,3
3/21/2019,,70,2
3/22/2019,,88,3
3/22/2019,,64,2
3/23/2019,,32,1
3/28/2019,,20,1
4/3/2019,,18,1
4/11/2019,,15,1
4/15/2019,,11,1
11/27/2019,,10,1
12/6/2019,,7,1
12/8/2019,,11,1
12/13/2019,,16,1
12/17/2019,,14,1
12/20/2019,,20,1
12/23/2019,,14,1
12/31/2019,,20,1
1/4/2020,,21,1
1/7/2020,,59,2
1/8/2020,,45,1
1/12/2020,,57,2
1/13/2020,,67,2
1/14/2020,,46,1
1/17/2020,,36,1
1/24/2020,,41,1
1/29/2020,,30,1
1/31/2020,,47,1
2/2/2020,,36,1
2/8/2020,,38,1
2/16/2020,,38,1
2/20/2020,,30,1
2/25/2020,,52,2
2/25/2020,,40,1
3/4/2020,,36,1
3/11/2020,,41,1
3/17/2020,,30,1
3/24/2020,,32,1
3/31/2020,,34,1
4/3/2020,,45,1
4/10/2020,,41,1
4/15/2020,,25,1
11/25/2020,,11,1
12/2/2020,,6,1
12/12/2020,,5,1
12/19/2020,,18,1
12/27/2020,,20,1
1/3/2021,,29,1
1/12/2021,,37,1
1/13/2021,,59,2
1/13/2021,,40,1
1/18/2021,,20,1
1/28/2021,,22,1
2/3/2021,,27,1
2/5/2021,,55,2
2/7/2021,,46,1
2/11/2021,,44,1
2/21/2021,,47,1
2/22/2021,,100,4
2/22/2021,,96,3
2/23/2021,,76,3
2/23/2021,,105,4
2/24/2021,,80,3
2/25/2021,,66,2
2/28/2021,,66,2
3/3/2021,,74,2
3/7/2021,,45,1
3/15/2021,,40,1
3/23/2021,,31,1
3/31/2021,,25,1
4/9/2021,,18,1
4/15/2021,,12,1
12/4/2021,,4,1
12/10/2021,,19,1
12/12/2021,,31,1
12/17/2021,,42,1
12/18/2021,,55,2
12/20/2021,,40,1
12/24/2021,,46,1
12/28/2021,,34,1
1/5/2022,,47,1
1/6/2022,,58,2
1/7/2022,,72,2
1/8/2022,,102,4
1/8/2022,,102,4
1/9/2022,,90,3
1/9/2022,,70,2
1/10/2022,,45,1
1/12/2022,,67,2
1/13/2022,,67,2
1/14/2022,,43,1
1/16/2022,,56,2
1/16/2022,,40,1
1/20/2022,,44,1
1/25/2022,,23,1
1/31/2022,,61,2
2/2/2022,,41,1
2/8/2022,,35,1
2/15/2022,,39,1
2/19/2022,,47,1
2/20/2022,,60,2
2/22/2022,,44,1
2/25/2022,,31,1
2/28/2022,,68,2
2/28/2022,,81,3
3/1/2022,,80,3
3/2/2022,,70,2
3/4/2022,,43,1
3/10/2022,,32,1
3/15/2022,,47,1
3/21/2022,,27,1
3/23/2022,,41,1
3/29/2022,,30,1
4/4/2022,,36,1
4/13/2022,,20,1
