"avrid","avpathid","avobsdate","avobstime","avobserverid","avtype","avtriggertyp","avtrigger","avrelativesize","avdestructivesize","avinterface","sz_vert","sz_horiz","sz_avgslope","sz_elev_m","sz_aspect","term_elev_m","av_vert_m","crown_width_m","ch_max_cm","ch_min_cm","ch_diff_cm","term_longpath","term_shortPath","term_detail","term_moist","deb_rail","deb_rail_w","deb_rail_d","deb_hwy","deb_hwy_w","deb_hwy_d","avcomment","edcr_user","edcr_time","edcr_ip","eded_user","eded_time","eded_ip"
"32","SHED05","2011-12-29","13:00:00","dunda_01","U","5","N","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris in upper path.
No crown visible.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"33","TestSlope2","2011-12-29","13:00:00","dunda_01","U","5","N","U","U","U","U","U","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Debris in several locations.
No crown visible.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"34","SHED07E","2011-12-29","13:00:00","dunda_01","U","5","N","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris in upper bowl.
No crown visible.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"35","SHED11","2011-12-29","13:00:00","dunda_01","SS","5","N","U","U","U","T","C","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Debris/ Crown located in Center of Path- 
200' vertical from top of SZ",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"36","SHED07W","2011-01-18","11:00:00","stein_01","HS","5","NU","R2","D2","U","T","R","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,"Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"37","GRIZZLY","2011-01-18","09:30:00","stein_01","SU","5","NU","R3","D3","O","T","L","0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","South facing Ridgeline in the back of Grizzly","Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"38","INFINITY","2011-01-17","08:30:00","stein_01","SS","5","N","R2","D2","O","T","C","0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Terminus Wet.","Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"39","SHED05","2011-01-16","20:15:00","stein_01","HS","5","N","R4","D4","O","T","C","0","0","N","0","0","0","0","0","0","BR","-","U","U","1","30.0","0.2","0","0.0","0.0","HS-N-R4-D3.5-O.  85% SZ.  This was a rain/snow induced natural avalanche that released as a hard slab and transitioned into a wet avalanche with wet avalanche debris characteristics at the terminus. It was moving relatively fast when it crossed Shed 5 and very little snow back-filled the shed.","Steiner","2016-03-17 11:50:56","01","Ted","2020-06-29 11:14:49","64.91.61.64"
"40","SHED07E","2011-01-16","11:00:00","stein_01","HS","5","N","R3","D3","O","M","L","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Terminus 120 meters above rail grade.","Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"41","INFINITY","2011-01-16","09:00:00","stein_01","SU","5","N","R2","D2","U","T","L","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,"Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"42","PATH1163","2011-01-16","09:00:00","stein_01","U","5","NU","R2","D2","U","U","U","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Ran 2/3rds path","Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"43","INFINITY","2011-01-13","15:45:00","stein_01","U","5","N","R2","D1.5","U","T","U","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,"Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"44","PATH1163","2011-01-13","13:30:00","stein_01","U","5","N","R2","D2","U","T","U","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,"Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"45","TestSlope2","2011-01-12","12:50:00","stein_01","HS","2","Asr","R3","D2","O","T","R","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Start: Looker's Right. Remote Trigger","Steiner","2016-03-17 11:50:56","01",NULL,"0000-00-00 00:00:00",NULL
"46","INFINITY","2011-01-10","10:11:00","stein_01","SS","5",,"R2","D2","I","T","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Crown depth 15-30 cm, width 30 m.  Dry snow.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"47","BROKEN","2010-12-12","08:45:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris ran 2/3rds path confined to main gully.  SZ obscured.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"48","SHED07E","2010-12-12","12:00:00","stein_01","SS","5","N","R2","D2","U","M","C","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris terminated at confluence with the Shed 7 West Path.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"49","PATH1163","2010-12-12","14:20:00","stein_01","U","5","NU","U","D2","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris ran 5/8ths Path- Filled path wall to wall.  Lots of small to moderate activity occurring on lower elev. cutbanks.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"50","PATH1163","2010-12-11","16:00:00","stein_01","SS","5","N","R2","D2","U","T","C","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris terminated at nick point- 50% of path.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"51","SHED08","2010-12-10","11:35:00","stein_01","SS","5","N","R2","D2","U","M","L","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris ran 7/8ths path.  Crown approximately 30 cm depth and 50 m wide.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"52","PATH1163","2010-12-10","11:49:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","New Debris 1/2 Path.  SZ obscured.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"53","PATH1163","2010-12-06","11:30:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Loose debris ran 1/2 path to ""nick point.""",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"54","PATH1163","2010-01-12","16:25:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"55","JAKES","2010-01-12","16:30:00","stein_01","L","5","NU","R1","D1","U","B",,"0","0",,"0","0","0","0","0","0",,,,,"0","0.0","0.0","0","0.0","0.0","Release associated with 1/12 rain event.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"56","INFINITY","2010-01-12","16:35:00","stein_01","L","5","NU","U","D1",,"U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 Path.  Associated with rain event.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"57","SHED09","2010-01-12","16:40:00","stein_01","L","5","NU","R1","D1","U","T","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Release in looker's R lower path.  Debris ran to main path.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"58","PATH1163","2009-03-28","15:30:00","stein_01","L",NULL,NULL,NULL,"D1",NULL,NULL,"L","0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"59","FRYPAN","2009-03-21","15:30:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran full path",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:30:07","139.51.15.17"
"60","SHED10","2009-03-20","16:00:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:29:24","139.51.15.17"
"61","INFINITY","2009-03-20","16:00:00","stein_01","L","5","NU","R2","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:26:59","139.51.15.17"
"62","PATH1163","2009-03-16","08:00:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the rail grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:26:11","139.51.15.17"
"63","INFINITY","2009-03-16","08:00:00","stein_01","WS","5","N","R2","D2",NULL,NULL,"L","0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"64","GOATLICK","2009-03-04","10:15:00","stein_01","WS","5","N","R2","D2","I","T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"65","PATH1163","2009-02-06","11:00:00","stein_01","U","5","N","R2",,,"U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"66","INFINITY","2009-02-06","11:00:00","stein_01","U","5","N","R2",,,"U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"67","SHED107","2009-01-30","09:44:00","dunda_01","L","5","N","R1","D1",,"T","C","0","0",,"0","0","0","0","0","0","SZ",,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"68","SHED11","2009-01-30","09:44:00","dunda_01","L","5",,"R1",,,"T","C","0","0",,"0","0","0","0","0","0","SZ",,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"69","GRIZZLY","2009-01-12","12:00:00","dunda_01","HS","5","N","R3",,,"T","C","0","0",,"0","0","0","0","0","0",,,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"70","SHED11","2009-01-12","12:00:00","dunda_01","U","5","N","R2",,,"T","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"71","SHED11","2009-01-12","12:00:00","stein_01","U",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"72","GRIZZLY","2009-01-12","12:00:00","stein_01","SS",NULL,NULL,NULL,NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"73","SHED05","2009-01-08","13:59:00","stein_01","HS","5","N","U","D3","G","T","U","0","0","N","0","0","0","0","0","0","BR","-","U","U","1","30.0","8.0","0","0.0","0.0","backfilled snowshed 30' height 100' linear - avalanche watch posted",,"2016-03-17 11:50:56",,"Ted","2020-06-29 10:58:51","64.91.61.64"
"74","PATH1163","2009-01-07","08:22:00","stein_01","U",NULL,NULL,NULL,NULL,NULL,"U","U","0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","200' above nick point",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"75","JAKES","2009-01-07","08:22:00","stein_01","SS",NULL,NULL,"R1",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"76","INFINITY","2009-01-07","08:22:00","stein_01","SS",NULL,NULL,"R2",NULL,NULL,"U","U","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","250' from rail",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"77","SHED09","2009-01-07","08:22:00","stein_01","SS",NULL,NULL,"R1",NULL,NULL,"B",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"78","BURNOUT","2009-01-07","08:22:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,"U","U","0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"79","PATH1163","2009-01-04","12:00:00","stein_01","U",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","ran to nick point",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"81","SHED10","2009-01-03","09:00:00","stein_01","SS","5","N","R2","D3",NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"82","JAKES","2009-01-03","09:00:00","stein_01","L","5","NU","R1","U","U","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:02:18","139.51.15.17"
"83","INFINITY","2009-01-03","09:00:00","stein_01","SS","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 3/4 path.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 13:02:57","139.51.15.17"
"84","SHED11","2008-12-29","12:25:00","stein_01","U","5","NU","R2","D1.5","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above rail grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 12:26:19","139.51.15.17"
