,snow_depth,day
7010,24.3,24
7011,24.5,24
7012,24.6,24
7013,24.3,24
7014,24.2,24
7015,24.6,24
7016,24.6,24
7017,24.6,24
7018,24.5,24
7019,24.6,23
7020,24.6,23
7021,24.6,23
7022,24.6,23
7023,24.6,23
7024,24.5,23
7025,24.5,23
7026,24.0,23
7027,24.3,23
7028,24.6,23
7029,24.2,23
7030,24.3,23
7031,23.9,23
7032,23.6,23
7033,24.1,23
7034,24.4,23
7035,24.6,23
7036,24.4,23
7037,24.2,23
7038,24.2,23
7039,24.4,23
7040,24.3,23
7041,24.3,23
7042,24.6,23
7043,24.7,22
7044,24.5,22
7045,24.5,22
7046,24.5,22
7047,24.5,22
7048,24.7,22
7049,24.6,22
7050,24.3,22
7051,24.4,22
7052,24.2,22
7053,24.4,22
7054,24.4,22
7055,24.6,22
7056,24.5,22
7057,24.5,22
7058,24.7,22
7059,24.7,22
7060,24.7,22
7061,24.7,22
7062,24.7,22
7063,24.7,22
7064,24.7,22
7065,24.8,22
7066,24.7,22
7067,24.7,21
7068,24.7,21
7069,24.8,21
7070,24.8,21
7071,24.8,21
7072,24.7,21
7073,24.8,21
7074,24.7,21
7075,24.7,21
7076,24.7,21
7077,24.7,21
7078,24.8,21
7079,24.7,21
7080,24.7,21
7081,24.8,21
7082,24.8,21
7083,24.8,21
7084,24.9,21
7085,24.9,21
7086,24.9,21
7087,24.9,21
7088,24.9,21
7089,24.9,21
7090,24.9,21
7091,24.9,20
7092,24.9,20
7093,24.9,20
7094,25.0,20
7095,24.9,20
7096,24.9,20
7097,25.0,20
7098,24.9,20
7099,24.8,20
7100,24.9,20
7101,25.0,20
7102,25.0,20
7103,25.0,20
7104,24.8,20
7105,24.9,20
7106,25.1,20
7107,25.2,20
7108,24.3,20
7109,25.3,20
7110,25.7,20
7111,24.7,20
7112,25.1,20
7113,23.1,20
7114,25.1,20
7115,24.9,19
7116,24.7,19
7117,24.7,19
7118,24.2,19
7119,24.7,19
7120,25.0,19
7121,24.9,19
7122,25.0,19
7123,25.0,19
7124,25.1,19
7125,25.0,19
7126,25.4,19
7127,25.1,19
7128,25.5,19
7129,25.8,19
7130,25.8,19
7131,25.8,19
7132,25.8,19
7133,25.8,19
7134,25.9,19
7135,25.9,19
7136,26.0,19
7137,25.9,19
7138,25.8,19
7139,25.9,18
7140,26.1,18
7141,26.2,18
7142,26.2,18
7143,25.7,18
7144,26.1,18
7145,26.2,18
7146,26.2,18
7147,26.2,18
7148,26.7,18
7149,26.9,18
7150,27.2,18
7151,27.3,18
7152,27.4,18
7153,27.3,18
7154,27.3,18
7155,27.5,18
7156,27.2,18
7157,27.2,18
7158,27.2,18
7159,27.1,18
7160,26.9,18
7161,26.5,18
7162,26.7,18
7163,26.3,17
7164,26.9,17
7165,26.9,17
7166,26.7,17
7167,26.9,17
7168,27.1,17
7169,26.9,17
7170,26.9,17
7171,27.2,17
7172,27.5,17
7173,27.0,17
7174,27.7,17
7175,27.8,17
7176,27.9,17
7177,27.9,17
7178,27.9,17
7179,28.1,17
7180,28.0,17
7181,28.2,17
7182,28.2,17
7183,28.2,17
7184,28.4,17
7185,28.3,17
7186,28.3,17
7187,28.4,16
7188,28.4,16
7189,28.6,16
7190,28.7,16
7191,28.8,16
7192,28.8,16
7193,28.7,16
7194,28.7,16
7195,29.0,16
7196,29.0,16
7197,29.1,16
7198,29.1,16
7199,29.4,16
7200,29.4,16
7201,28.8,16
7202,29.5,16
7203,29.6,16
7204,29.8,16
7205,29.1,16
7206,28.8,16
7207,28.2,16
7208,26.1,16
7209,26.6,16
7210,25.1,16
7211,24.3,15
7212,23.5,15
7213,23.8,15
7214,23.7,15
7215,23.5,15
7216,23.3,15
7217,23.7,15
7218,23.9,15
7219,23.7,15
7220,23.8,15
7221,23.9,15
7222,23.7,15
7223,23.9,15
7224,23.4,15
7225,23.2,15
7226,23.3,15
7227,23.8,15
7228,23.2,15
7229,23.3,15
7230,23.3,15
7231,23.3,15
7232,23.3,15
7233,23.5,15
7234,23.5,15
7235,23.6,14
7236,23.7,14
7237,23.9,14
7238,23.9,14
7239,23.9,14
7240,24.1,14
7241,24.1,14
7242,23.7,14
7243,23.7,14
7244,23.9,14
7245,24.2,14
7246,23.9,14
7247,24.2,14
7248,23.9,14
7249,24.2,14
7250,24.3,14
7251,24.3,14
7252,24.3,14
7253,24.3,14
7254,24.3,14
7255,24.3,14
7256,24.3,14
7257,24.4,14
7258,24.2,14
7259,24.2,13
7260,24.3,13
7261,24.4,13
7262,24.3,13
7263,24.3,13
7264,24.3,13
7265,24.2,13
7266,24.1,13
7267,24.0,13
7268,24.1,13
7269,24.1,13
7270,23.8,13
7271,23.8,13
7272,23.2,13
7273,23.6,13
7274,23.6,13
7275,23.5,13
7276,23.6,13
7277,23.5,13
7278,23.6,13
7279,23.5,13
7280,23.7,13
7281,24.3,13
7282,23.5,13
7283,23.7,12
7284,23.8,12
7285,23.8,12
7286,24.2,12
7287,24.2,12
7288,23.9,12
7289,23.9,12
7290,23.5,12
7291,23.7,12
7292,24.1,12
7293,24.1,12
7294,24.3,12
7295,23.9,12
7296,23.9,12
7297,24.0,12
7298,24.0,12
7299,24.0,12
7300,24.3,12
7301,24.4,12
7302,24.3,12
7303,24.4,12
7304,24.3,12
7305,24.3,12
7306,24.4,12
7307,24.3,11
7308,24.3,11
7309,24.3,11
7310,24.3,11
7311,24.3,11
7312,24.2,11
7313,24.1,11
7314,24.3,11
7315,24.3,11
7316,24.3,11
7317,24.2,11
7318,24.3,11
7319,24.2,11
7320,24.3,11
7321,24.4,11
7322,24.4,11
7323,24.4,11
7324,24.4,11
7325,24.4,11
7326,24.3,11
7327,24.4,11
7328,24.3,11
7329,24.3,11
7330,24.3,11
7331,24.4,10
7332,24.0,10
7333,23.9,10
7334,24.1,10
7335,23.9,10
7336,24.1,10
7337,24.3,10
7338,24.2,10
7339,24.5,10
7340,25.2,10
7341,25.8,10
7342,25.7,10
7343,25.9,10
7344,26.3,10
7345,26.2,10
7346,26.6,10
7347,25.5,10
7348,26.7,10
7349,26.7,10
7350,26.8,10
7351,26.7,10
7352,26.7,10
7353,26.8,10
7354,27.1,10
7355,27.1,9
7356,27.1,9
7357,26.6,9
7358,26.7,9
7359,26.9,9
7360,26.7,9
7361,27.1,9
7362,27.3,9
7363,27.4,9
7364,27.5,9
7365,27.8,9
7366,27.7,9
7367,27.7,9
7368,27.7,9
7369,27.7,9
7370,27.7,9
7371,27.7,9
7372,27.7,9
7373,27.8,9
7374,27.8,9
7375,27.7,9
7376,27.9,9
7377,27.9,9
7378,27.8,9
7379,27.8,8
7380,27.7,8
7381,27.7,8
7382,27.7,8
7383,27.7,8
7384,27.9,8
7385,28.0,8
7386,27.8,8
7387,27.9,8
7388,27.9,8
7389,28.1,8
7390,28.1,8
7391,28.2,8
7392,28.2,8
7393,28.1,8
7394,28.3,8
7395,28.3,8
7396,28.3,8
7397,28.3,8
7398,28.4,8
7399,28.4,8
7400,28.3,8
7401,28.5,8
7402,28.3,8
7403,28.7,7
7404,28.3,7
7405,28.6,7
7406,28.5,7
7407,28.2,7
7408,28.6,7
7409,28.6,7
7410,29.0,7
7411,29.1,7
7412,28.9,7
7413,28.9,7
7414,29.0,7
7415,29.1,7
7416,29.0,7
7417,28.8,7
7418,29.0,7
7419,29.1,7
7420,29.1,7
7421,29.1,7
7422,29.1,7
7423,29.2,7
7424,29.2,7
7425,29.4,7
7426,29.5,7
7427,29.4,6
7428,29.4,6
7429,29.4,6
7430,29.7,6
7431,29.7,6
7432,29.8,6
7433,29.8,6
7434,29.5,6
7435,29.3,6
7436,29.5,6
7437,29.3,6
7438,29.4,6
7439,28.6,6
7440,29.0,6
7441,29.0,6
7442,28.4,6
7443,28.4,6
7444,28.9,6
7445,28.8,6
7446,28.7,6
7447,28.6,6
7448,28.8,6
7449,29.0,6
7450,29.4,6
7451,28.7,5
7452,28.3,5
7453,28.4,5
7454,28.2,5
7455,28.6,5
7456,28.6,5
7457,29.1,5
7458,28.6,5
7459,29.5,5
7460,29.5,5
7461,29.8,5
7462,29.9,5
7463,30.1,5
7464,30.3,5
7465,30.6,5
7466,30.5,5
7467,30.3,5
7468,30.7,5
7469,29.9,5
7470,29.3,5
7471,29.7,5
7472,29.3,5
7473,29.1,5
7474,28.7,5
7475,27.6,4
7476,27.2,4
7477,27.3,4
7478,27.2,4
7479,26.5,4
7480,26.6,4
7481,26.1,4
7482,26.9,4
7483,26.5,4
7484,26.6,4
7485,26.5,4
7486,26.9,4
7487,26.9,4
7488,26.9,4
7489,26.9,4
7490,27.0,4
7491,27.0,4
7492,26.9,4
7493,26.9,4
7494,26.9,4
7495,26.9,4
7496,26.9,4
7497,26.9,4
7498,26.7,4
7499,26.6,3
7500,26.7,3
7501,26.7,3
7502,26.7,3
7503,26.6,3
7504,26.6,3
7505,26.2,3
7506,26.1,3
7507,25.6,3
7508,24.4,3
7509,24.2,3
7510,24.3,3
7511,24.2,3
7512,25.0,3
7513,24.1,3
7514,25.0,3
7515,25.5,3
7516,25.3,3
7517,25.5,3
7518,25.8,3
7519,25.8,3
7520,25.9,3
7521,25.9,3
7522,25.6,3
7523,25.4,2
7524,25.3,2
7525,25.1,2
7526,25.1,2
7527,25.3,2
7528,25.3,2
7529,25.3,2
7530,25.3,2
7531,25.3,2
7532,25.2,2
7533,25.0,2
7534,24.9,2
7535,25.1,2
7536,25.2,2
7537,25.3,2
7538,25.5,2
7539,25.5,2
7540,25.5,2
7541,25.4,2
7542,25.5,2
7543,25.4,2
7544,25.4,2
7545,25.4,2
7546,25.3,2
7547,25.2,1
7548,25.0,1
7549,25.6,1
7550,25.4,1
7551,25.3,1
7552,25.5,1
7553,25.5,1
7554,25.5,1
7555,25.5,1
7556,25.4,1
7557,25.5,1
7558,25.7,1
7559,25.6,1
7560,26.0,1
7561,26.2,1
7562,24.5,1
7563,26.0,1
7564,25.9,1
7565,26.3,1
7566,26.0,1
7567,25.5,1
7568,25.5,1
7569,25.4,1
7570,26.3,1
17441,29.8,29
17442,29.8,29
17443,29.8,29
17444,29.8,29
17445,29.6,29
17446,30.1,29
17447,29.5,29
17448,29.4,29
17449,29.4,29
17450,29.4,29
17451,29.4,29
17452,29.5,29
17453,29.5,29
17454,29.4,29
17455,29.5,29
17456,29.5,29
17457,29.5,29
17458,29.6,29
17459,29.6,29
17460,29.6,29
17461,29.7,29
17462,29.8,29
17463,29.9,29
17464,29.9,29
17465,29.9,28
17466,30.2,28
17467,30.1,28
17468,30.1,28
17469,30.3,28
17470,30.2,28
17471,30.3,28
17472,30.0,28
17473,30.7,28
17474,31.0,28
17475,31.1,28
17476,31.5,28
17477,31.5,28
17478,32.0,28
17479,32.1,28
17480,32.0,28
17481,32.0,28
17482,32.1,28
17483,32.1,28
17484,32.1,28
17485,32.1,28
17486,32.1,28
17487,32.2,28
17488,32.3,28
17489,32.3,27
17490,32.2,27
17491,32.3,27
17492,32.4,27
17493,32.4,27
17494,32.4,27
17495,32.3,27
17496,32.4,27
17497,32.6,27
17498,32.7,27
17499,32.9,27
17500,33.0,27
17501,33.1,27
17502,33.3,27
17503,33.2,27
17504,32.9,27
17505,33.2,27
17506,33.3,27
17507,33.4,27
17508,33.4,27
17509,33.5,27
17510,33.5,27
17511,33.4,27
17512,33.6,27
17513,33.6,26
17514,33.6,26
17515,33.7,26
17516,33.8,26
17517,33.7,26
17518,33.7,26
17519,33.4,26
17520,33.7,26
17521,32.5,26
17522,33.3,26
17523,33.9,26
17524,33.9,26
17525,34.1,26
17526,34.2,26
17527,34.2,26
17528,34.3,26
17529,34.4,26
17530,34.5,26
17531,34.6,26
17532,34.2,26
17533,34.6,26
17534,34.7,26
17535,34.5,26
17536,34.5,26
17537,34.7,25
17538,34.7,25
17539,34.9,25
17540,34.7,25
17541,34.9,25
17542,35.1,25
17543,35.1,25
17544,33.5,25
17545,35.3,25
17546,35.5,25
17547,35.7,25
17548,34.2,25
17549,34.7,25
17550,35.5,25
17551,35.8,25
17552,35.4,25
17553,35.5,25
17554,35.4,25
17555,35.1,25
17556,36.0,25
17557,36.2,25
17558,34.6,25
17559,33.1,25
17560,31.9,25
17561,31.9,24
17562,31.9,24
17563,32.1,24
17564,32.3,24
17565,32.1,24
17566,31.8,24
17567,31.7,24
17568,30.6,24
17569,30.9,24
17570,30.7,24
17571,28.2,24
17572,30.6,24
17573,30.1,24
17574,30.3,24
17575,29.5,24
17576,29.3,24
17577,29.1,24
17578,29.1,24
17579,29.1,24
17580,29.0,24
17581,29.2,24
17582,29.2,24
17583,28.8,24
17584,28.9,24
17585,28.7,23
17586,28.6,23
17587,28.4,23
17588,28.1,23
17589,28.0,23
17590,27.7,23
17591,27.8,23
17592,27.8,23
17593,27.7,23
17594,27.9,23
17595,27.9,23
17596,27.9,23
17597,27.7,23
17598,27.8,23
17599,27.8,23
17600,28.2,23
17601,28.1,23
17602,28.2,23
17603,28.2,23
17604,28.3,23
17605,28.3,23
17606,28.2,23
17607,28.2,23
17608,28.3,23
17609,28.3,22
17610,28.3,22
17611,28.3,22
17612,28.3,22
17613,28.3,22
17614,28.3,22
17615,28.3,22
17616,28.5,22
17617,28.3,22
17618,28.5,22
17619,28.3,22
17620,28.5,22
17621,28.5,22
17622,28.6,22
17623,28.7,22
17624,28.8,22
17625,28.8,22
17626,28.9,22
17627,28.8,22
17628,28.8,22
17629,29.0,22
17630,28.9,22
17631,29.0,22
17632,28.8,22
17633,29.0,21
17634,29.0,21
17635,29.0,21
17636,29.0,21
17637,29.0,21
17638,29.0,21
17639,28.9,21
17640,28.2,21
17641,28.9,21
17642,28.9,21
17643,28.9,21
17644,29.0,21
17645,28.9,21
17646,28.8,21
17647,29.0,21
17648,29.0,21
17649,29.1,21
17650,29.2,21
17651,29.0,21
17652,29.2,21
17653,29.1,21
17654,29.1,21
17655,29.2,21
17656,29.3,21
17657,29.3,20
17658,29.4,20
17659,29.4,20
17660,29.4,20
17661,29.4,20
17662,29.5,20
17663,29.4,20
17664,28.7,20
17665,29.3,20
17666,29.5,20
17667,29.4,20
17668,29.5,20
17669,29.4,20
17670,29.2,20
17671,29.8,20
17672,29.8,20
17673,29.8,20
17674,29.8,20
17675,29.8,20
17676,29.8,20
17677,29.8,20
17678,29.8,20
17679,30.0,20
17680,30.0,20
17681,30.1,19
17682,30.0,19
17683,30.0,19
17684,30.0,19
17685,30.2,19
17686,30.2,19
17687,30.1,19
17688,29.7,19
17689,30.1,19
17690,30.2,19
17691,30.2,19
17692,30.3,19
17693,30.3,19
17694,30.2,19
17695,30.6,19
17696,30.6,19
17697,30.7,19
17698,30.6,19
17699,30.7,19
17700,30.8,19
17701,30.9,19
17702,30.9,19
17703,30.9,19
17704,31.0,19
17705,31.1,18
17706,31.2,18
17707,31.2,18
17708,31.1,18
17709,31.1,18
17710,31.3,18
17711,31.3,18
17712,31.1,18
17713,31.3,18
17714,31.3,18
17715,31.7,18
17716,31.5,18
17717,31.6,18
17718,31.7,18
17719,32.0,18
17720,32.2,18
17721,32.2,18
17722,32.2,18
17723,30.8,18
17724,32.0,18
17725,31.7,18
17726,31.0,18
17727,31.4,18
17728,31.4,18
17729,31.9,17
17730,31.9,17
17731,31.5,17
17732,31.7,17
17733,31.5,17
17734,31.3,17
17735,30.9,17
17736,31.5,17
17737,31.5,17
17738,31.1,17
17739,30.7,17
17740,31.3,17
17741,31.5,17
17742,31.3,17
17743,31.4,17
17744,32.3,17
17745,32.4,17
17746,32.5,17
17747,32.5,17
17748,32.7,17
17749,32.8,17
17750,32.8,17
17751,32.9,17
17752,31.8,17
17753,32.3,16
17754,32.8,16
17755,32.3,16
17756,31.7,16
17757,30.5,16
17758,29.7,16
17759,30.7,16
17760,29.5,16
17761,29.7,16
17762,29.1,16
17763,29.5,16
17764,29.0,16
17765,29.5,16
17766,29.5,16
17767,29.4,16
17768,28.6,16
17769,29.1,16
17770,27.8,16
17771,28.3,16
17772,27.9,16
17773,27.7,16
17774,27.8,16
17775,27.8,16
17776,26.2,16
17777,26.7,15
17778,26.5,15
17779,26.7,15
17780,26.7,15
17781,26.3,15
17782,26.5,15
17783,26.6,15
17784,26.5,15
17785,26.3,15
17786,26.7,15
17787,26.7,15
17788,26.7,15
17789,26.5,15
17790,26.7,15
17791,26.7,15
17792,26.4,15
17793,26.9,15
17794,26.9,15
17795,26.9,15
17796,26.9,15
17797,26.9,15
17798,27.0,15
17799,26.4,15
17800,25.7,15
17801,26.5,14
17802,26.6,14
17803,26.5,14
17804,26.6,14
17805,26.4,14
17806,26.5,14
17807,26.7,14
17808,26.7,14
17809,26.3,14
17810,26.4,14
17811,26.6,14
17812,26.6,14
17813,26.1,14
17814,25.8,14
17815,25.7,14
17816,26.2,14
17817,26.1,14
17818,25.1,14
17819,25.5,14
17820,25.3,14
17821,25.1,14
17822,24.7,14
17823,24.5,14
17824,24.2,14
17825,24.5,13
17826,24.8,13
17827,24.7,13
17828,25.1,13
17829,24.9,13
17830,24.7,13
17831,24.7,13
17832,24.6,13
17833,25.0,13
17834,25.1,13
17835,25.1,13
17836,24.9,13
17837,24.7,13
17838,25.1,13
17839,25.2,13
17840,25.5,13
17841,25.4,13
17842,25.4,13
17843,25.5,13
17844,25.5,13
17845,25.5,13
17846,25.5,13
17847,25.6,13
17848,25.6,13
17849,25.6,12
17850,25.6,12
17851,25.8,12
17852,25.8,12
17853,25.8,12
17854,25.8,12
17855,25.7,12
17856,25.8,12
17857,25.8,12
17858,25.7,12
17859,25.7,12
17860,25.8,12
17861,25.8,12
17862,26.2,12
17863,25.9,12
17864,26.2,12
17865,26.2,12
17866,26.2,12
17867,26.2,12
17868,25.8,12
17869,26.6,12
17870,26.6,12
17871,26.1,12
17872,26.2,12
17873,26.2,11
17874,26.2,11
17875,26.2,11
17876,26.3,11
17877,26.3,11
17878,26.3,11
17879,26.3,11
17880,26.3,11
17881,26.1,11
17882,25.8,11
17883,25.5,11
17884,25.1,11
17885,25.1,11
17886,25.5,11
17887,25.5,11
17888,24.9,11
17889,25.4,11
17890,23.4,11
17891,23.9,11
17892,24.6,11
17893,25.1,11
17894,25.4,11
17895,25.3,11
17896,25.4,11
17897,25.5,10
17898,25.6,10
17899,25.6,10
17900,25.8,10
17901,25.9,10
17902,25.9,10
17903,25.8,10
17904,25.9,10
17905,25.3,10
17906,25.4,10
17907,24.3,10
17908,25.3,10
17909,25.0,10
17910,24.4,10
17911,24.8,10
17912,25.9,10
17913,26.2,10
17914,25.6,10
17915,25.6,10
17916,26.1,10
17917,26.6,10
17918,26.1,10
17919,25.1,10
17920,24.8,10
17921,24.4,9
17922,24.8,9
17923,24.9,9
17924,24.9,9
17925,24.9,9
17926,25.1,9
17927,25.1,9
17928,25.3,9
17929,25.3,9
17930,25.4,9
17931,25.3,9
17932,25.4,9
17933,25.5,9
17934,25.6,9
17935,25.7,9
17936,25.7,9
17937,25.6,9
17938,25.4,9
17939,25.7,9
17940,26.1,9
17941,26.0,9
17942,26.2,9
17943,26.3,9
17944,26.4,9
17945,26.4,8
17946,26.6,8
17947,26.6,8
17948,26.7,8
17949,26.8,8
17950,26.9,8
17951,26.9,8
17952,27.0,8
17953,27.3,8
17954,27.4,8
17955,26.9,8
17956,26.2,8
17957,25.5,8
17958,22.5,8
17959,22.9,8
17960,23.3,8
17961,22.6,8
17962,23.0,8
17963,22.1,8
17964,22.2,8
17965,22.4,8
17966,21.7,8
17967,22.1,8
17968,22.2,8
17969,22.1,7
17970,21.8,7
17971,21.7,7
17972,21.3,7
17973,19.5,7
17974,21.4,7
17975,21.5,7
17976,21.4,7
17977,21.4,7
17978,21.5,7
17979,21.6,7
17980,21.6,7
17981,21.3,7
17982,20.7,7
17983,20.2,7
17984,19.4,7
17985,20.2,7
17986,21.5,7
17987,20.6,7
17988,19.9,7
17989,21.3,7
17990,20.1,7
17991,20.5,7
17992,20.3,7
17993,20.7,6
17994,20.7,6
17995,20.9,6
17996,20.7,6
17997,20.7,6
17998,20.6,6
17999,20.6,6
18000,20.5,6
18001,20.6,6
18002,20.5,6
18003,20.6,6
18004,20.6,6
18005,20.7,6
18006,20.7,6
18007,20.9,6
18008,20.9,6
18009,20.9,6
18010,21.0,6
18011,21.0,6
18012,20.9,6
18013,21.0,6
18014,21.0,6
18015,21.1,6
18016,21.0,6
18017,21.1,5
18018,21.3,5
18019,21.0,5
18020,21.1,5
18021,21.0,5
18022,20.9,5
18023,20.9,5
18024,19.7,5
18025,20.3,5
18026,20.2,5
18027,20.5,5
18028,20.6,5
18029,20.6,5
18030,20.2,5
18031,20.6,5
18032,20.0,5
18033,20.3,5
18034,16.5,5
18035,17.7,5
18036,19.2,5
18037,18.2,5
18038,17.0,5
18039,17.9,5
18040,17.4,5
18041,18.0,4
18042,18.1,4
18043,18.3,4
18044,18.1,4
18045,18.1,4
18046,19.0,4
18047,18.8,4
18048,18.7,4
18049,18.6,4
18050,17.6,4
18051,17.5,4
18052,18.2,4
18053,18.3,4
18054,18.4,4
18055,18.7,4
18056,18.7,4
18057,18.6,4
18058,18.6,4
18059,18.6,4
18060,18.6,4
18061,18.6,4
18062,18.4,4
18063,18.4,4
18064,18.4,4
18065,17.9,3
18066,18.7,3
18067,18.5,3
18068,18.8,3
18069,18.7,3
18070,18.7,3
18071,18.6,3
18072,18.6,3
18073,18.6,3
18074,18.4,3
18075,18.4,3
18076,18.4,3
18077,18.3,3
18078,18.7,3
18079,18.7,3
18080,18.8,3
18081,18.7,3
18082,18.8,3
18083,18.7,3
18084,18.8,3
18085,18.7,3
18086,18.7,3
18087,18.8,3
18088,18.8,3
18089,18.7,2
18090,18.8,2
18091,18.6,2
18092,18.6,2
18093,18.8,2
18094,18.6,2
18095,18.6,2
18096,18.4,2
18097,18.4,2
18098,18.4,2
18099,18.3,2
18100,18.2,2
18101,18.3,2
18102,18.4,2
18103,18.8,2
18104,18.8,2
18105,18.8,2
18106,18.8,2
18107,18.8,2
18108,18.6,2
18109,18.7,2
18110,18.6,2
18111,18.8,2
18112,18.1,2
18113,18.3,1
18114,18.2,1
18115,18.3,1
18116,18.3,1
18117,18.6,1
18118,18.3,1
18119,18.6,1
18120,18.5,1
18121,18.6,1
18122,18.6,1
18123,18.7,1
18124,18.7,1
18125,18.5,1
18126,18.9,1
18127,19.3,1
18128,19.4,1
18129,19.7,1
18130,19.9,1
18131,19.7,1
18132,19.8,1
18133,20.2,1
18134,20.2,1
18135,20.1,1
18136,20.3,1
24751,31.1,28
24752,31.1,28
24753,31.3,28
24754,31.3,28
24755,31.3,28
24756,31.3,28
24757,31.3,28
24758,31.3,28
24759,31.4,28
24760,31.0,28
24761,31.5,28
24762,31.3,28
24763,31.0,28
24764,29.8,28
24765,30.3,28
24766,31.0,28
24767,31.1,28
24768,30.3,28
24769,30.7,28
24770,30.4,28
24771,30.4,28
24772,30.6,28
24773,30.6,28
24774,30.6,28
24775,30.6,27
24776,30.9,27
24777,31.0,27
24778,31.1,27
24779,31.1,27
24780,31.1,27
24781,30.2,27
24782,30.6,27
24783,30.3,27
24784,30.1,27
24785,30.6,27
24786,30.7,27
24787,31.0,27
24788,30.4,27
24789,30.6,27
24790,31.9,27
24791,31.1,27
24792,31.4,27
24793,30.3,27
24794,30.6,27
24795,31.1,27
24796,31.7,27
24797,31.7,27
24798,31.0,27
24799,31.4,26
24800,30.7,26
24801,30.9,26
24802,30.7,26
24803,30.2,26
24804,29.7,26
24805,29.9,26
24806,30.7,26
24807,30.5,26
24808,30.5,26
24809,30.7,26
24810,30.5,26
24811,29.9,26
24812,29.9,26
24813,30.2,26
24814,30.6,26
24815,30.5,26
24816,30.6,26
24817,30.1,26
24818,29.9,26
24819,30.3,26
24820,29.1,26
24821,29.0,26
24822,29.1,26
24823,28.1,25
24824,28.6,25
24825,27.9,25
24826,27.8,25
24827,26.2,25
24828,27.7,25
24829,27.5,25
24830,26.9,25
24831,27.0,25
24832,26.1,25
24833,26.5,25
24834,24.1,25
24835,25.6,25
24836,25.6,25
24837,25.8,25
24838,25.9,25
24839,25.8,25
24840,25.8,25
24841,25.8,25
24842,25.8,25
24843,26.2,25
24844,25.8,25
24845,25.8,25
24846,25.8,25
24847,25.5,24
24848,25.9,24
24849,25.6,24
24850,25.6,24
24851,25.3,24
24852,25.3,24
24853,25.1,24
24854,24.9,24
24855,25.5,24
24856,25.3,24
24857,24.7,24
24858,24.5,24
24859,25.3,24
24860,24.8,24
24861,25.2,24
24862,25.3,24
24863,25.5,24
24864,25.2,24
24865,25.5,24
24866,25.5,24
24867,25.6,24
24868,25.5,24
24869,26.0,24
24870,25.6,24
24871,25.9,23
24872,25.8,23
24873,25.6,23
24874,25.3,23
24875,25.4,23
24876,27.1,23
24877,27.0,23
24878,26.3,23
24879,26.9,23
24880,27.0,23
24881,26.1,23
24882,26.6,23
24883,26.7,23
24884,26.2,23
24885,25.8,23
24886,25.8,23
24887,25.9,23
24888,25.7,23
24889,25.9,23
24890,25.8,23
24891,25.7,23
24892,25.0,23
24893,23.7,23
24894,23.9,23
24895,23.8,22
24896,23.8,22
24897,23.8,22
24898,23.7,22
24899,23.8,22
24900,23.7,22
24901,23.5,22
24902,23.9,22
24903,23.9,22
24904,23.7,22
24905,24.1,22
24906,23.9,22
24907,24.3,22
24908,24.5,22
24909,24.7,22
24910,25.0,22
24911,24.5,22
24912,24.7,22
24913,24.1,22
24914,24.5,22
24915,24.3,22
24916,24.1,22
24917,24.3,22
24918,24.2,22
24919,24.2,21
24920,24.2,21
24921,24.3,21
24922,24.1,21
24923,24.1,21
24924,23.9,21
24925,24.1,21
24926,24.3,21
24927,23.9,21
24928,24.1,21
24929,23.9,21
24930,23.7,21
24931,23.7,21
24932,23.9,21
24933,23.9,21
24934,23.7,21
24935,23.8,21
